Year,Month,day,sunrise,sunset,time,height,time,height,time,height,time,height,coefficient,coefficientCategory
2018,3,,,,3.2,6:33,6.9,10:56,1.2,18:17,9.5,23:44,,
2018,3,,,7:10,,,,,,,,,,104
2018,3,3,7:10,20:30,6:33,2.8,10:56,7.3,18:17,0.8,23:44,9.5,104,very high
2018,3,S,20:30,,,,,,,,,,very high,
2018,3,,,,2.8,7:05,7.3,11:43,0.8,19:02,9.5,,,
2018,3,,,7:12,,,,,,,,,,96
2018,3,4,7:12,20:27,7:05,2.4,11:43,8.2,19:02,1.2,,,96,very high
2018,3,D,20:27,,,,,,,,,,very high,
2018,3,,,,2.4,0:17,8.2,7:37,1.2,12:28,,19:43,,
2018,3,,,7:14,,,,,,,,,,85
2018,3,5,7:14,20:25,0:17,9,7:37,1.6,12:28,8.6,19:43,1.6,85,high
2018,3,L,20:25,,,,,,,,,,high,
2018,3,,,,9,0:47,1.6,8:08,8.6,13:10,1.6,20:23,,
2018,3,,,7:16,,,,,,,,,,71
2018,3,6,7:16,20:23,0:47,9,8:08,1.6,13:10,8.6,20:23,2,71,high
2018,3,M,20:23,,,,,,,,,,high,
2018,3,,,,9,1:15,1.6,8:39,8.6,13:51,2,21:01,,
2018,3,,,7:18,,,,,,,,,,57
2018,3,7,7:18,20:21,1:15,8.6,8:39,1.2,13:51,8.6,21:01,2.4,57,medium
2018,3,X,20:21,,,,,,,,,,medium,
2018,3,,,,8.6,1:43,1.2,9:10,8.6,14:32,2.4,21:39,,
2018,3,,,7:20,,,,,,,,,,45
2018,3,8,7:20,20:18,1:43,8.2,9:10,1.2,14:32,8.2,21:39,3.2,45,low
2018,3,J,20:18,,,,,,,,,,low,
2018,3,,,,8.2,2:09,1.2,9:43,8.2,15:17,3.2,22:19,,
2018,3,,,7:21,,,,,,,,,,35
2018,3,9,7:21,20:16,2:09,7.3,9:43,1.6,15:17,8.2,22:19,3.6,35,low
2018,3,V,20:16,,,,,,,,,,low,
2018,3,,,,7.3,2:35,1.6,10:19,8.2,16:09,3.6,23:06,,
2018,3,,,7:23,,,,,,,,,,32
2018,3,10,7:23,20:14,2:35,6.9,10:19,1.6,16:09,7.7,23:06,4.4,32,low
2018,3,S,20:14,,,,,,,,,,low,
2018,3,,,,6.9,3:01,1.6,11:01,7.7,17:15,4.4,,,
2018,3,,,7:25,,,,,,,,,,37
2018,3,11,7:25,20:11,3:01,6.5,11:01,2,17:15,7.3,,,37,low
2018,3,D,20:11,,,,,,,,,,low,
2018,3,,,,6.5,0:16,2,3:31,7.3,11:57,,18:49,,
2018,3,,,7:27,,,,,,,,,,47
2018,3,12,7:27,20:09,0:16,4.8,3:31,6,11:57,2.4,18:49,6.9,47,low
2018,3,L,20:09,,,,,,,,,,low,
2018,3,,,,4.8,2:31,6,4:25,2.4,13:19,6.9,20:22,,
2018,3,,,7:29,,,,,,,,,,58
2018,3,13,7:29,20:07,2:31,5.2,4:25,5.6,13:19,2.8,20:22,7.3,58,medium
2018,3,M,20:07,,,,,,,,,,medium,
2018,3,,,,5.2,4:27,5.6,6:48,2.8,14:52,7.3,21:22,,
2018,3,,,7:30,,,,,,,,,,69
2018,3,14,7:30,20:04,4:27,4.8,6:48,5.2,14:52,2.8,21:22,7.7,69,medium
2018,3,X,20:04,,,,,,,,,,medium,
2018,3,,,,4.8,5:07,5.2,8:35,2.8,16:03,7.7,22:03,,
2018,3,,,7:32,,,,,,,,,,79
2018,3,15,7:32,20:02,5:07,4.4,8:35,5.6,16:03,2.4,22:03,7.7,79,high
2018,3,J,20:02,,,,,,,,,,high,
2018,3,,,,4.4,5:35,5.6,9:37,2.4,16:55,7.7,22:35,,
2018,3,,,7:34,,,,,,,,,,88
2018,3,16,7:34,20:00,5:35,3.6,9:37,6,16:55,2,22:35,8.2,88,high
2018,3,V,20:00,,,,,,,,,,high,
2018,3,,,,3.6,6:01,6,10:23,2,17:39,8.2,23:04,,
2018,3,,,7:36,,,,,,,,,,94
2018,3,17,7:36,19:57,6:01,3.2,10:23,6.9,17:39,2,23:04,8.6,94,very high
2018,3,S,19:57,,,,,,,,,,very high,
2018,3,,,,3.2,6:26,6.9,11:02,2,18:18,8.6,23:32,,
2018,3,,,7:38,,,,,,,,,,96
2018,3,18,7:38,19:55,6:26,2.8,11:02,7.3,18:18,1.6,23:32,8.6,96,very high
2018,3,D,19:55,,,,,,,,,,very high,
2018,3,,,,2.8,6:51,7.3,11:39,1.6,18:55,8.6,,,
2018,3,,,7:39,,,,,,,,,,95
2018,3,19,7:39,19:52,6:51,2,11:39,8.2,18:55,1.6,,,95,very high
2018,3,L,19:52,,,,,,,,,,very high,
2018,3,,,,2,0:00,8.2,7:17,1.6,12:16,,19:33,,
2018,3,,,7:41,,,,,,,,,,90
2018,3,20,7:41,19:50,0:00,8.6,7:17,1.6,12:16,8.6,19:33,1.6,90,very high
2018,3,M,19:50,,,,,,,,,,very high,
